TXG, 1770787
ADTN, 926282
FLWS, 1084869
AAP, 1158449
ONEM, 1404123
WMS, 1604028
SRCE, 34782
AEIS, 927003
XXII, 1347858
AMD, 2488
TWOU, 1459417
ASIX, 1673985
DDD, 910638
ADV, 1776661
MMM, 66740
ADN, 1744494
FDMT, 1650648
ADVM, 1501756
ETNB, 1785173
ACM, 868857
EGHT, 1023731
AGLE, 1636282
NMTR, 1551986
AMTX, 738214
MASS, 1555279
AERI, 1337553
ATEN, 1580808
AJRD, 40888
AAON, 824142
AVAV, 1368622
AIR, 1750
ASLE, 1754170
ABT, 1800
AES, 874761
ABBV, 1551152
AEVA, 1789029
ANF, 1018840
AFCG, 1822523
ABMD, 815094
AMG, 1004434
ABM, 771497
AFMD, 1608390
ACTG, 934549
AFL, 4977
ASO, 1817358
AGCO, 880266
ACHC, 1520697
UAVS, 8504
ACAD, 1070494
AGEN, 1098972
AKR, 899629
A, 1090872
ACEL, 1698991
AGTI, 1749704
AXDX, 727207
AGL, 1831097
AGYS, 78749
ACN, 1467373
AGIO, 1439222
ACCO, 712034
AGNC, 1423689
ACCD, 1481646
ADC, 917251
RCM, 1472595
AL, 1487712
ARAY, 1138723
APD, 2969
ACIW, 935036
ATSG, 894081
ACRS, 1557746
AKAM, 1086222
ATVI, 718877
AKBA, 1517022
AYI, 1144215
AKRO, 1744659
GOLF, 1672013
AKUS, 1722271
AFIB, 1522860
AKTS, 1584754
AHCO, 1725255
AKYA, 1711933
ADPT, 1478320
ALG, 897077
ADUS, 1468328
ALRM, 1459200
ACET, 1720580
ALK, 766421
ADNT, 1670541
AIN, 819793
ADBE, 796343
ALB, 915913
ADT, 1703056
ACI, 1646972
ATGE, 730464
ALBO, 1322505
AA, 1675149
AMZN, 1018724
ALDX, 1341235
AMBC, 874501
ALEC, 1653087
AMBA, 1280263
ALRS, 903419
AMC, 1411579
ALEX, 1545654
AMCX, 1514991
ALX, 3499
AMCR, 1748790
ARE, 1035443
DOX, 1062579
AMED, 896262
ALGN, 1097149
AMTB, 1734342
ALHC, 1832466
UHAL, 4457
ALGS, 1799448
AEE, 1002910
ALKT, 1529274
AMRC, 1488139
