aapl	320193
msft	789019
goog	1652044
amzn	1018724
tsla	1318605
fb	1326801
ge	40545
brk-a	1067983
tsm	1046179
jpm	19617
hd	354950
v	1403161
unh	731766
jnj	200406
spy	884394
lvmuy	824046
wmt	104169
bac	70858
pg	80424
ma	1141391
asml	937966
baba	1577552
pfe	78003
adbe	796343
nflx	1065280
nke	320187
dis	1744489
xom	34088
tm	1094517
orcl	1341439
nvo	353278
tmo	97745
cmcsa	1166691
csco	858877
lly	59478
crm	1108524
cost	909832
ko	21344
acn	1467373
abt	1800
avgo	1730168
pep	77476
dhr	313616
cvx	93410
vz	732712
pypl	1633917
abbv	1551152
intc	50863
wfc	72971
qcom	804328
nvda	1045810
mcd	63908
mrk	310158
ms	895421
nvs	1114448
txn	97476
low	60667
intu	896878
ups	1090727
amd	2488
nee	753308
rds-a	1306965
shop	1594805
lin	1707925
t	732717
unp	100885
vwdry	1330306
sony	313838
sap	1000184
qqq	1067839
schw	316709
mdt	1613103
ry	1000275
azn	901832
hon	773840
bhp	811809
tmus	1283699
pm	1413329
ptr	1108329
blk	1364742
td	947263
bbl	1171264
ul	217410
amat	6951
sbux	829224
c	831001
gs	886982
se	1703399
tte	879764
chtr	1091667
bmy	14272
axp	4962
rtx	101829
tgt	27419
hdb	1144967
amt	1053507
el	1001250
mrna	1682852
jd	1549802
cvs	64803
deo	835403
now	1373715
sny	1121404
rtntf	887028
hsbc	1089113
amgn	318154
ba	12927
pld	1045609
bud	1668717
de	315189
spgi	64040
cat	18230
ibm	51143
zts	1555280
gsk	1131399
lfc	1268896
abnb	1559720
snow	1640147
mmm	66740
idexy	1438656
infy	1067491
adp	8670
rio	863064
antm	1156039
cop	1163165
bx	1393818
lrcx	707549
syk	310764
mu	723125
lmt	936468
shw	89800
bp	313807
cni	16868
gm	1467858
gild	882095
bkng	1075531
eadsy	1378580
bam	1001085
team	1650372
tjx	109198
mdlz	1103982
mmc	62709
pnc	713676
usb	36104
eqnr	1140625
cb	896159
cta-pa	30554
bntx	1776985
mo	764180
sftby	1065521
cme	1156375
sq	1512673
bns	9631
cci	1051470
tfc	92230
bti	1303523
bnpqy	310732
f	37996
hca	860730
enb	895728
duk	1326160
itw	49826
ice	1571949
mco	1059556
atlcy	748954
abb	1091587
mufg	67088
nsc	702165
eqix	1101239
bdx	10795
snap	1564408
bmo	927971
snp	1123658
mrvl	1835632
coin	1679788
ntes	1110646
wm	823768
pbr	1119639
ci	1739940
pdd	1737806
ew	1099800
fisv	798354
uber	1543151
regn	872589
njdcy	1158967
adi	6281
aon	315293
so	92122
etn	1551182
apd	2969
wday	1327811
fis	1136893
ibn	1103838
vale	917851
cof	927628
cl	21665
race	1648416
rblx	1315098
fdx	1048911
ecl	31462
nxpi	1413447
glncy	1524684
ubs	1610520
klac	319201
amx	1129137
lulu	1397187
ifnny	1107457
relx	929869
tri	1075124
psa	1393311
d	715957
rbgly	1420798
noc	1133421
adsk	769397
gd	40533
bsx	885725
sxyay	1575851
stla	1605484
jci	833444
pgr	80661
hum	49071
san	891478
emr	32604
ing	1039765
chgcy	1453934
meli	1099590
nio	1736541
info	1598014
vrtx	875320
fcx	831259
met	1099219
wbk	719245
zm	1585521
snps	883241
xlnx	743988
tel	1385157
dg	29534
dxcm	1093557
exc	1109357
panw	1327567
